# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 239K of event 'cycles:ppp'
# Event count (approx.): 226544822357
#
# Overhead  Command  Shared Object      Symbol                                           
# ........  .......  .................  .................................................
#
     0.02%  netperf  [kernel.kallsyms]  [k] jiffies_to_usecs
     0.02%  netperf  [kernel.kallsyms]  [k] __x86_indirect_thunk_rdx
     0.02%  netperf  [kernel.kallsyms]  [k] build_skb
     0.02%  netperf  [unknown]          [k] 0xfffffe000008a01b
     0.02%  netperf  [kernel.kallsyms]  [k] kmalloc_slab
     0.02%  netperf  [kernel.kallsyms]  [k] swiotlb_unmap_page
     0.02%  netperf  [kernel.kallsyms]  [k] ixgbe_tx_ctxtdesc
     0.01%  netperf  netperf            [.] 0x0000000000005ebe
     0.01%  netperf  [kernel.kallsyms]  [k] bictcp_acked
     0.01%  netperf  [unknown]          [k] 0xfffffe00000e2027
     0.01%  netperf  [kernel.kallsyms]  [k] inet_ehashfn
     0.01%  netperf  [kernel.kallsyms]  [k] tcp_rate_skb_sent
     0.01%  netperf  netperf            [.] 0x00000000000156a7
     0.01%  netperf  [kernel.kallsyms]  [k] tcp_rack_advance
     0.01%  netperf  [kernel.kallsyms]  [k] _mix_pool_bytes
     0.01%  netperf  [kernel.kallsyms]  [k] tcp_tsq_handler.part.40
     0.01%  netperf  [kernel.kallsyms]  [k] rb_next
     0.01%  netperf  [kernel.kallsyms]  [k] __raise_softirq_irqoff
     0.01%  netperf  [kernel.kallsyms]  [k] irq_enter
     0.01%  netperf  netperf            [.] 0x0000000000006086
     0.01%  netperf  [kernel.kallsyms]  [k] tcp_rate_gen
     0.01%  netperf  [kernel.kallsyms]  [k] ret_from_intr
     0.01%  netperf  [kernel.kallsyms]  [k] netif_receive_skb_internal
     0.01%  netperf  [kernel.kallsyms]  [k] dev_queue_xmit
     0.01%  netperf  [kernel.kallsyms]  [k] napi_gro_receive
     0.01%  netperf  [unknown]          [k] 0xfffffe00000e200f
     0.01%  netperf  [kernel.kallsyms]  [k] dst_release
     0.01%  netperf  [kernel.kallsyms]  [k] calc_wheel_index
     0.01%  netperf  [kernel.kallsyms]  [k] raw_local_deliver
     0.01%  netperf  [unknown]          [k] 0xfffffe000005e003
     0.01%  netperf  [kernel.kallsyms]  [k] rcu_irq_enter
     0.01%  netperf  [kernel.kallsyms]  [k] tcp_fragment_tstamp
     0.01%  netperf  [kernel.kallsyms]  [k] tcp_v4_inbound_md5_hash
